Start file: scen/warehouse-10-20-10-2-1-even-5.scen,
iteration: 0, cost: 11277, duration: 26870964846, num_raplans: 17
iteration: 1, cost: 11530, duration: 34489693895, num_raplans: 23
iteration: 2, cost: 11577, duration: 34307211623, num_raplans: 23
iteration: 3, cost: 11313, duration: 23845143853, num_raplans: 14
iteration: 4, cost: 10897, duration: 22711873293, num_raplans: 15
iteration: 5, cost: 11475, duration: 24881970082, num_raplans: 15
iteration: 6, cost: 11457, duration: 35864304807, num_raplans: 29
iteration: 7, cost: 10861, duration: 21338887539, num_raplans: 12
iteration: 8, cost: 11395, duration: 35418426759, num_raplans: 23
iteration: 9, cost: 11349, duration: 27159652024, num_raplans: 19
iteration: 10, cost: 11298, duration: 27419815001, num_raplans: 18
iteration: 11, cost: 11154, duration: 32419155307, num_raplans: 24
iteration: 12, cost: 11119, duration: 32162246113, num_raplans: 22
iteration: 13, cost: 11255, duration: 25306734721, num_raplans: 15
iteration: 14, cost: 11077, duration: 32884682007, num_raplans: 25
Instance summary: num_iteration:15, avg_cost: 11268.933333333332, avg_duration: 29138717458, avg_replans: 19, std_duration: 4992361414.801448, success_ratio: 100.0%

Instance_summary: num_iteration: 15, avg_cost: 11268.933333333332, avg_duration: 29138717458, avg_replans: 19, pstd_duration: 4823079341.001807, success_ratio: 100.0%
Instance_summary: num_iteration:  15, avg_cost: 11268.933333333332, avg_duration: 29138717458, avg_replans: 19, pstd_duration: 4823079341.001807, success_ratio: 100.0%
Instance_summary: num_iteration:   15, avg_cost: 11268.933333333332, avg_duration: 29138717458, avg_replans: 19, pstd_duration: 4823079341.001807, success_ratio: 100.0%
Instance_summary: num_iteration:    15, avg_cost: 11268.933333333332, avg_duration: 29138717458, avg_replans: 19, pstd_duration: 4823079341.001807, success_ratio: 100.0%

