Start file: scen/warehouse-10-20-10-2-2-random-5.scen,
iteration: 0, cost: 10361, duration: 30698866266, num_raplans: 14
iteration: 1, cost: 10222, duration: 21004084677, num_raplans: 7
iteration: 2, cost: 10198, duration: 25763521683, num_raplans: 12
iteration: 3, cost: 10083, duration: 26607742040, num_raplans: 12
iteration: 4, cost: 10300, duration: 38359827325, num_raplans: 20
iteration: 5, cost: 10007, duration: 20576518935, num_raplans: 7
iteration: 6, cost: 10349, duration: 36110376412, num_raplans: 19
iteration: 7, cost: 10186, duration: 40216145379, num_raplans: 22
iteration: 8, cost: 10406, duration: 29058994820, num_raplans: 12
iteration: 9, cost: 10637, duration: 37713540166, num_raplans: 21
iteration: 10, cost: 10468, duration: 33914526410, num_raplans: 16
iteration: 11, cost: 10326, duration: 33727360522, num_raplans: 17
iteration: 12, cost: 10376, duration: 34511683967, num_raplans: 21
iteration: 13, cost: 10234, duration: 26593281037, num_raplans: 12
iteration: 14, cost: 10032, duration: 21492988478, num_raplans: 8
Instance summary: num_iteration:15, avg_cost: 10279, avg_duration: 30423297207.8, avg_replans: 14, std_duration: 6560207930.680065, success_ratio: 100.0%

Instance_summary: num_iteration: 15, avg_cost: 10279, avg_duration: 30423297207.8, avg_replans: 14, pstd_duration: 6337762977.121642, success_ratio: 100.0%
Instance_summary: num_iteration:  15, avg_cost: 10279, avg_duration: 30423297207.8, avg_replans: 14, pstd_duration: 6337762977.121642, success_ratio: 100.0%
Instance_summary: num_iteration:   15, avg_cost: 10279, avg_duration: 30423297207.8, avg_replans: 14, pstd_duration: 6337762977.121642, success_ratio: 100.0%
Instance_summary: num_iteration:    15, avg_cost: 10279, avg_duration: 30423297207.8, avg_replans: 14, pstd_duration: 6337762977.121642, success_ratio: 100.0%

