Start file: scen/warehouse-10-20-10-2-1-even-7.scen,
iteration: 0, cost: 10975, duration: 20830104946, num_raplans: 12
iteration: 1, cost: 11264, duration: 25392557061, num_raplans: 16
iteration: 2, cost: 11085, duration: 34003647423, num_raplans: 27
iteration: 3, cost: 11293, duration: 29128170895, num_raplans: 19
iteration: 4, cost: 11211, duration: 25036879682, num_raplans: 15
iteration: 5, cost: 11211, duration: 22427596065, num_raplans: 13
iteration: 6, cost: 11231, duration: 25002099091, num_raplans: 14
iteration: 7, cost: 11277, duration: 29005631556, num_raplans: 18
iteration: 8, cost: 10799, duration: 21431778356, num_raplans: 14
iteration: 9, cost: 10878, duration: 22528841089, num_raplans: 15
iteration: 10, cost: 11192, duration: 24875635838, num_raplans: 17
iteration: 11, cost: 11215, duration: 31375111062, num_raplans: 21
iteration: 12, cost: 11275, duration: 25829068145, num_raplans: 15
iteration: 13, cost: 11325, duration: 33298622383, num_raplans: 21
iteration: 14, cost: 11296, duration: 30229857830, num_raplans: 20
Instance summary: num_iteration:15, avg_cost: 11168.466666666667, avg_duration: 26693040094.8, avg_replans: 17, std_duration: 4240281045.5821576, success_ratio: 100.0%

Instance_summary: num_iteration: 15, avg_cost: 11168.466666666667, avg_duration: 26693040094.8, avg_replans: 17, pstd_duration: 4096500676.083808, success_ratio: 100.0%
Instance_summary: num_iteration:  15, avg_cost: 11168.466666666667, avg_duration: 26693040094.8, avg_replans: 17, pstd_duration: 4096500676.083808, success_ratio: 100.0%
Instance_summary: num_iteration:   15, avg_cost: 11168.466666666667, avg_duration: 26693040094.8, avg_replans: 17, pstd_duration: 4096500676.083808, success_ratio: 100.0%
Instance_summary: num_iteration:    15, avg_cost: 11168.466666666667, avg_duration: 26693040094.8, avg_replans: 17, pstd_duration: 4096500676.083808, success_ratio: 100.0%

