Start file: scen/maze-128-128-2-random-2.scen,
iteration: 0, cost: 70697, duration: 159812664023, num_raplans: 13
iteration: 1, cost: 71927, duration: 193045141968, num_raplans: 15
iteration: 2, cost: 70569, duration: 174897200257, num_raplans: 14
iteration: 3, cost: 71206, duration: 162805271576, num_raplans: 12
iteration: 4, cost: 68362, duration: 165977447048, num_raplans: 13
iteration: 5, cost: 71194, duration: 141444998694, num_raplans: 12
iteration: 6, cost: 70988, duration: 186646313597, num_raplans: 20
iteration: 7, cost: 69452, duration: 169551389510, num_raplans: 14
iteration: 8, cost: 70369, duration: 166563695889, num_raplans: 16
iteration: 9, cost: 69860, duration: 193648265182, num_raplans: 19
iteration: 10, cost: 69745, duration: 180511438278, num_raplans: 16
iteration: 11, cost: 71012, duration: 173834557755, num_raplans: 12
iteration: 12, cost: 71073, duration: 167932811570, num_raplans: 15
iteration: 13, cost: 71267, duration: 170047163468, num_raplans: 16
iteration: 14, cost: 70250, duration: 160926982942, num_raplans: 14
Instance summary: num_iteration:15, avg_cost: 70531.4, avg_duration: 171176356117.13333, avg_replans: 14, std_duration: 13579285260.994528, success_ratio: 100.0%


