Start file: scen/warehouse-10-20-10-2-2-random-8.scen,
iteration: 0, cost: 9995, duration: 38295693016, num_raplans: 21
iteration: 1, cost: 10116, duration: 37688385008, num_raplans: 19
iteration: 2, cost: 9684, duration: 33747446435, num_raplans: 19
iteration: 3, cost: 9615, duration: 26262722441, num_raplans: 12
iteration: 4, cost: 9748, duration: 30784599813, num_raplans: 15
iteration: 5, cost: 9813, duration: 30700268811, num_raplans: 15
iteration: 6, cost: 9710, duration: 25150402377, num_raplans: 11
iteration: 7, cost: 9744, duration: 37358371174, num_raplans: 22
iteration: 8, cost: 9734, duration: 36507582205, num_raplans: 22
iteration: 9, cost: 9891, duration: 38453415338, num_raplans: 21
iteration: 10, cost: 9362, duration: 22804784472, num_raplans: 11
iteration: 11, cost: 9690, duration: 31382130734, num_raplans: 16
iteration: 12, cost: 9556, duration: 22416443340, num_raplans: 8
iteration: 13, cost: 9475, duration: 26913195673, num_raplans: 14
iteration: 14, cost: 9585, duration: 26379312073, num_raplans: 13
Instance summary: num_iteration:15, avg_cost: 9714.533333333333, avg_duration: 30989650194, avg_replans: 15, std_duration: 5779630559.279548, success_ratio: 100.0%

Instance_summary: num_iteration: 15, avg_cost: 9714.533333333333, avg_duration: 30989650194, avg_replans: 15, pstd_duration: 5583653592.5539665, success_ratio: 100.0%
Instance_summary: num_iteration:  15, avg_cost: 9714.533333333333, avg_duration: 30989650194, avg_replans: 15, pstd_duration: 5583653592.5539665, success_ratio: 100.0%
Instance_summary: num_iteration:   15, avg_cost: 9714.533333333333, avg_duration: 30989650194, avg_replans: 15, pstd_duration: 5583653592.5539665, success_ratio: 100.0%
Instance_summary: num_iteration:    15, avg_cost: 9714.533333333333, avg_duration: 30989650194, avg_replans: 15, pstd_duration: 5583653592.5539665, success_ratio: 100.0%

