Start file: scen/warehouse-20-40-10-2-2-random-6.scen,
iteration: 0, cost: 20271, duration: 79813182484, num_raplans: 10
iteration: 1, cost: 20207, duration: 101094485251, num_raplans: 16
iteration: 2, cost: 20146, duration: 71404798328, num_raplans: 7
iteration: 3, cost: 20446, duration: 62476696479, num_raplans: 4
iteration: 4, cost: 19999, duration: 55180768146, num_raplans: 3
iteration: 5, cost: 20325, duration: 87065939926, num_raplans: 13
iteration: 6, cost: 20283, duration: 79387469866, num_raplans: 10
iteration: 7, cost: 19893, duration: 59062277459, num_raplans: 5
iteration: 8, cost: 20423, duration: 69872683797, num_raplans: 8
iteration: 9, cost: 20256, duration: 82045358754, num_raplans: 11
iteration: 10, cost: 20064, duration: 56407799759, num_raplans: 4
iteration: 11, cost: 20236, duration: 88090816536, num_raplans: 13
iteration: 12, cost: 20479, duration: 122477970985, num_raplans: 23
iteration: 13, cost: 20107, duration: 104304887849, num_raplans: 17
iteration: 14, cost: 20138, duration: 64542125098, num_raplans: 5
Instance summary: num_iteration:15, avg_cost: 20218.2, avg_duration: 78881817381.13333, avg_replans: 9, std_duration: 19410484677.34526, success_ratio: 100.0%

Instance_summary: num_iteration: 15, avg_cost: 20218.2, avg_duration: 78881817381.13333, avg_replans: 9, pstd_duration: 18752309752.36983, success_ratio: 100.0%

