Start file: scen/maze-128-128-10-even-16.scen,
iteration: 0, cost: 30151, duration: 68594837621, num_raplans: 9
iteration: 1, cost: 30390, duration: 82607549677, num_raplans: 12
iteration: 2, cost: 30971, duration: 64201999788, num_raplans: 8
iteration: 3, cost: 30316, duration: 52224425137, num_raplans: 4
iteration: 4, cost: 30552, duration: 76372415877, num_raplans: 12
iteration: 5, cost: 30567, duration: 86262282917, num_raplans: 13
iteration: 6, cost: 30043, duration: 71240809204, num_raplans: 13
iteration: 7, cost: 30542, duration: 66953738938, num_raplans: 10
iteration: 8, cost: 30647, duration: 58034238937, num_raplans: 6
iteration: 9, cost: 30669, duration: 50100387386, num_raplans: 4
iteration: 10, cost: 29984, duration: 54587056700, num_raplans: 7
iteration: 11, cost: 30371, duration: 67538331336, num_raplans: 7
iteration: 12, cost: 30620, duration: 57439540124, num_raplans: 7
iteration: 13, cost: 30660, duration: 70341668999, num_raplans: 9
iteration: 14, cost: 30045, duration: 36422760304, num_raplans: 1
Instance summary: num_iteration:15, avg_cost: 30435.2, avg_duration: 64194802863, avg_replans: 8, std_duration: 13063040458.96411, success_ratio: 100.0%

Instance_summary: num_iteration: 15, avg_cost: 30435.2, avg_duration: 64194802863, avg_replans: 8, pstd_duration: 12620096049.43762, success_ratio: 100.0%

